INFO  Имя:0000092757_00022_87776874_e_a_l___4094087_199, Расширение: pdf, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:0000092757_00023_87776874_e_a_s___4094087_199, Расширение: pdf, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:01-032022, Расширение: pdf, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:01, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:02, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:03, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:0311_system_root, Расширение: zip, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:04-062021, Расширение: pdf, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:05, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:06, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:07-092021, Расширение: pdf, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:07, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:08, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:08144208162208144-208191208180209132, Расширение: xml, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:09, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:0p., Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:1 статья, Расширение: pdf, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:1, Расширение: csv, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:1, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:10-122021, Расширение: pdf, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:10, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:10773 Некрасов, Расширение: pdf, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:11, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:111, Расширение: mxl, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:1130000013479767.180425460071594574.1.2, Расширение: docx, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:12, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:13, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:14, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:1542444657694_bulletin, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:1559629, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:1617246179605, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:1653547780280, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:1653547780293, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:1653547780308, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:1653547780318, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:1666073319255, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:1666073319277, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:1668764554565, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
